factor_id,category,item,region,use_case,energy_content_value,energy_content_unit,scope1_co2_kg_co2e_per_gj,scope1_ch4_kg_co2e_per_gj,scope1_n2o_kg_co2e_per_gj,scope1_combined_kg_co2e_per_gj,scope2_kg_co2e_per_kwh,scope3_kg_co2e_per_gj,scope3_kg_co2e_per_kwh,other_factor_value,other_factor_unit,source_table,pdf_page,source_url,notes
LANDFILL_BIOGAS,gaseous biomass,landfill biogas captured for combustion,Australia,stationary combustion,0.0377,GJ/m3,0,6.4,0.03,6.43,,,,,,Table 5,19,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Methane-only gas; scope 3 not available
SLUDGE_BIOGAS,gaseous biomass,sludge biogas captured for combustion,Australia,stationary combustion,0.0377,GJ/m3,0,6.4,0.03,6.43,,,,,,Table 5,19,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Methane-only gas; scope 3 not available
OTHER_BIOGAS,gaseous biomass,other biogas captured for combustion,Australia,stationary combustion,0.0370,GJ/m3,0,6.4,0.03,6.43,,,,,,Table 5,19,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 3 not available
BIOMETHANE,gaseous biomass,biomethane,Australia,stationary combustion,0.0393,GJ/m3,0,0.1,0.03,0.13,,,,,,Table 5,19,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Scope 3 not available
NATURAL_GAS,natural gas,natural gas distributed in pipeline,Australia,stationary combustion,0.0393,GJ/m3,51.4,0.1,0.03,51.53,,,,,,Table 5,18,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Direct combustion factor
NATURAL_GAS_NSW_NONMETRO,natural gas,natural gas distributed in pipeline,New South Wales and Australian Capital Territory,non-metro scope 3,,,,,,,,14.0,,,,Table 6,19,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Use for regional NSW natural gas delivery
DIESEL_LIGHT_TRANSPORT,transport fuel,diesel oil,Australia,cars and light commercial vehicles,38.6,GJ/kL,69.9,0.01,0.5,70.41,,17.3,,,,Table 9,26,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,For biomass transport by light commercial vehicle where applicable
DIESEL_HEAVY_EURO_IV,transport fuel,diesel oil Euro IV or higher,Australia,heavy-duty vehicles,38.6,GJ/kL,69.9,0.07,0.4,70.37,,17.3,,,,Table 9,27,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,For biomass feedstock haulage by modern heavy vehicle
WASTE_FOOD,waste,food waste,Australia,avoided landfill comparison,,,,,,,,,,2.1,t CO2-e/t,Table 15,35,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Lifetime scope 3 landfill emissions; volume-to-mass factor 0.50 t/m3
WASTE_PAPER,waste,paper and cardboard,Australia,avoided landfill comparison,,,,,,,,,,3.3,t CO2-e/t,Table 15,35,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Lifetime scope 3 landfill emissions; volume-to-mass factor 0.09 t/m3
WASTE_GARDEN,waste,garden and green waste,Australia,avoided landfill comparison,,,,,,,,,,1.6,t CO2-e/t,Table 15,35,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Lifetime scope 3 landfill emissions; volume-to-mass factor 0.24 t/m3
WASTE_WOOD,waste,wood waste,Australia,avoided landfill comparison,,,,,,,,,,0.7,t CO2-e/t,Table 15,35,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Lifetime scope 3 landfill emissions; volume-to-mass factor 0.15 t/m3
WASTE_SLUDGE,waste,sludge,Australia,avoided landfill comparison,,,,,,,,,,0.4,t CO2-e/t,Table 15,36,https://www.dcceew.gov.au/sites/default/files/documents/national-greenhouse-account-factors-2025.pdf,Lifetime scope 3 landfill emissions; volume-to-mass factor 0.72 t/m3
